           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.75;ACEH
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.24;"SUMATERA UTARA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.9;"SUMATERA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.25;RIAU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.5;JAMBI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.53;"SUMATERA SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.21;BENGKULU
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.18;LAMPUNG
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.89;"KEP. BANGKA BELITUNG"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;7.61;"KEP. RIAU"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;7.57;"DKI JAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;7.89;"JAWA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;5.24;"JAWA TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.58;"DI YOGYAKARTA"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.33;"JAWA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;7.97;BANTEN
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.73;BALI
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.73;"NUSA TENGGARA BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.1;"NUSA TENGGARA TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.52;"KALIMANTAN BARAT"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.84;"KALIMANTAN TENGAH"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;3.95;"KALIMANTAN SELATAN"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;6.37;"KALIMANTAN TIMUR"
"Tingkat Pengangguran Terbuka Menurut Provinsi";"Tidak Ada";2023;Februari;4.1;"KALIMANTAN UTARA"
